depth,difficulty_regime,final_test_accuracy,final_test_loss,final_val_accuracy,final_val_loss,learning_curve_auc,seed,sweep,tokens_seen,training_seconds,training_steps,variant
12,mixed,0.93,0.2340969244639078,0.9666666666666667,0.1498436462879181,0.650820160793075,11,depth,999048,68.30045199999586,456,baseline
12,mixed,0.69,1.380899887084961,0.7233333333333334,1.1461818567911783,0.5319493624597283,22,depth,999048,68.60896719992161,456,baseline
12,mixed,0.78,0.961905008951823,0.8533333333333334,0.611072031656901,0.5953514095418839,33,depth,999048,69.29112630011514,456,baseline
12,mixed,0.96,0.1449167569478353,0.98,0.07291539510091145,0.6909065313511795,44,depth,999048,70.16077729989775,456,baseline
12,mixed,0.78,0.7775750223795573,0.84,0.5465184338887532,0.611082884239129,55,depth,999048,71.2924556999933,456,baseline
12,mixed,0.9366666666666666,0.202511297861735,0.98,0.09640506823857625,0.6550782611713016,11,depth,999048,68.92495679995045,456,gated
12,mixed,0.75,1.0520311737060546,0.75,0.8573078854878744,0.5311842540765476,22,depth,999048,68.71940109995194,456,gated
12,mixed,0.78,0.8989309120178223,0.8533333333333334,0.5395481999715169,0.6028075194251593,33,depth,999048,68.79646510002203,456,gated
12,mixed,0.97,0.124751337369283,0.9833333333333333,0.04847064048051834,0.6906552337825611,44,depth,999048,68.84120639995672,456,gated
12,mixed,0.7966666666666666,0.8241549936930338,0.83,0.6392848714192708,0.6154884833695011,55,depth,999048,68.63443910004571,456,gated
12,mixed,0.9233333333333332,0.2531127134958903,0.9666666666666667,0.11801560878753663,0.6659937510510004,11,depth,999048,72.24868960003369,456,sa_ff_gated
12,mixed,0.7066666666666667,1.2488118489583333,0.73,0.9832950846354167,0.5409221278657281,22,depth,999048,72.26127889985219,456,sa_ff_gated
12,mixed,0.7933333333333333,1.057949104309082,0.8166666666666667,0.7921890258789063,0.5964865051529056,33,depth,999048,72.3916763998568,456,sa_ff_gated
12,mixed,0.9666666666666668,0.0958224701881408,0.98,0.07974387874205907,0.6954431919187066,44,depth,999048,72.88320769998245,456,sa_ff_gated
12,mixed,0.81,0.7798518625895182,0.8166666666666667,0.6053930219014486,0.6194380249997997,55,depth,999048,72.50915249995887,456,sa_ff_gated
12,mixed,0.92,0.2729573535919189,0.9666666666666667,0.15396738052368164,0.6579432453028616,11,depth,999048,71.47486110008322,456,static_scale
12,mixed,0.7266666666666667,1.065939343770345,0.8,0.7853920046488444,0.5369041477486566,22,depth,999048,69.53718129987828,456,static_scale
12,mixed,0.7666666666666667,1.0437816111246745,0.8566666666666667,0.6335287094116211,0.5937984160921197,33,depth,999048,69.60880489996634,456,static_scale
12,mixed,0.97,0.1220967284838358,0.98,0.06904646337032318,0.6922421762184264,44,depth,999048,67.89045589999296,456,static_scale
12,mixed,0.8033333333333333,0.7948939895629883,0.8433333333333334,0.6505433400472005,0.6110675045977104,55,depth,999048,66.11622129986063,456,static_scale
16,mixed,0.8033333333333333,0.7131503423055013,0.86,0.5589260737101237,0.5667079960122035,11,depth,999048,125.04125430015849,456,baseline
16,mixed,0.8166666666666667,0.7987326431274414,0.8166666666666667,0.6861808395385742,0.573869857437614,22,depth,999048,170.41115850000642,456,baseline
16,mixed,0.91,0.3508386294047038,0.9333333333333333,0.246823574701945,0.6324557078338578,33,depth,999048,187.91592409997247,456,baseline
16,mixed,0.76,0.979539082845052,0.8033333333333333,0.7162366612752279,0.5645123524261764,44,depth,999048,87.16936310008168,456,baseline
16,mixed,0.8533333333333334,0.585265375773112,0.8766666666666667,0.3791519546508789,0.6328634510053572,55,depth,999048,87.49731000000611,456,baseline
16,mixed,0.75,0.976710605621338,0.81,0.7420606040954589,0.554591412691549,11,depth,999048,123.61557619995438,456,gated
16,mixed,0.7266666666666667,1.075739059448242,0.8133333333333334,0.7546832211812338,0.5724713710786002,22,depth,999048,149.30399219994433,456,gated
16,mixed,0.88,0.4391091092427571,0.94,0.20605198701222738,0.6303202165127868,33,depth,999048,156.08834760007448,456,gated
16,mixed,0.7466666666666667,0.9996908887227376,0.8433333333333334,0.627649122873942,0.5656645626636558,44,depth,999048,193.46263210009784,456,gated
16,mixed,0.89,0.4751444943745931,0.9166666666666666,0.33717467308044435,0.6368426391925112,55,depth,999048,140.8386725001037,456,gated
16,mixed,0.7233333333333334,1.1741832605997722,0.79,0.8869659296671549,0.5603968010879691,11,depth,999048,119.38112789997832,456,sa_ff_gated
16,mixed,0.77,0.9707467842102052,0.8166666666666667,0.7161735280354817,0.5779704428616044,22,depth,999048,118.95700749987736,456,sa_ff_gated
16,mixed,0.9033333333333332,0.4200025622049967,0.9433333333333334,0.17177427450815835,0.642050535443075,33,depth,999048,94.96297120000236,456,sa_ff_gated
16,mixed,0.7666666666666667,0.9281643676757813,0.8033333333333333,0.7456814448038737,0.5632696577141438,44,depth,999048,93.58218899997884,456,sa_ff_gated
16,mixed,0.84,0.6114123407999674,0.8933333333333333,0.3901947625478109,0.6279954666842834,55,depth,999048,93.2056217000354,456,sa_ff_gated
16,mixed,0.8333333333333334,0.6763398551940918,0.86,0.5653854688008626,0.5651322809314467,11,depth,999048,91.41823279997334,456,static_scale
16,mixed,0.7733333333333333,0.9226100794474285,0.79,0.7291838200887044,0.5738677137301378,22,depth,999048,96.2949999999255,456,static_scale
16,mixed,0.91,0.2607485103607178,0.9466666666666667,0.16453476786613463,0.633740716161786,33,depth,999048,94.59000289998949,456,static_scale
