condition,depth,layer,matched_parameter_control,near_zero_block_seed_count,near_zero_ff_seed_count,near_zero_sa_seed_count,negative_block_seed_count,negative_ff_seed_count,negative_sa_seed_count,reliable_near_zero_block,reliable_near_zero_ff,reliable_near_zero_sa,reliable_negative_block,reliable_negative_ff,reliable_negative_sa,repair_event_ci95_high,repair_event_ci95_low,repair_event_mean,repeated_repair,seed_n,task_family,utility_block_ci95_high,utility_block_ci95_low,utility_block_mean,utility_ff_ci95_high,utility_ff_ci95_low,utility_ff_mean,utility_sa_ci95_high,utility_sa_ci95_low,utility_sa_mean,width
depth16_width32_matched,16,10,True,0,0,0,1,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.06913924217224121,0.01586170494556427,0.04599759727716446,0.034247986972332,0.010323317721486092,0.021549168974161148,0.03948728367686272,0.005273664370179176,0.024536535143852234,32
depth16_width32_matched,16,11,True,0,0,2,0,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.043137114495038986,0.01710912398993969,0.030094588175415993,0.027564067393541336,0.012259943410754204,0.0205584317445755,0.029671505093574524,-0.002650276757776737,0.011051690205931664,32
depth16_width32_matched,16,12,True,0,1,0,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.060158997774124146,0.01341145671904087,0.030015328899025917,0.010558086447417736,-0.005996870342642069,0.002494618995115161,0.05208097770810127,0.012592795304954052,0.027474084869027138,32
depth16_width32_matched,16,13,True,0,0,1,1,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.04130522906780243,-0.010952773503959179,0.01791619509458542,0.018170388415455818,-0.0034105852246284485,0.00786135345697403,0.02277490869164467,-0.010116762481629848,0.008318249136209488,32
depth16_width32_matched,16,14,True,1,0,0,0,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.04677767679095268,0.013408342376351357,0.030085062608122826,0.026388714089989662,0.0011220891028642654,0.014470318332314491,0.022040782496333122,0.0026766641531139612,0.011918410658836365,32
depth16_width32_matched,16,15,True,1,0,1,0,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,minimum,0.033848367631435394,0.012094519101083279,0.024403925985097885,0.02013937197625637,0.009037756361067295,0.01365838386118412,0.015600791200995445,-0.003641606541350484,0.007296367082744837,32
depth16_width64,16,0,False,0,0,0,0,0,2,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.6660178899765015,0.06697074323892593,0.282707154750824,0.09651093184947968,0.03398031368851662,0.06839460134506226,0.3734132647514343,-0.01883191242814064,0.12682458758354187,64
depth16_width64,16,1,False,0,0,0,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,1.3406579494476318,0.15642783045768738,0.6506907343864441,0.025570958852767944,-0.009724033996462822,0.007027667947113514,1.6029495000839233,0.0951807051897049,0.7270577549934387,64
depth16_width64,16,2,False,0,0,1,0,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.06341929733753204,0.028758039698004723,0.045792363584041595,0.03810950741171837,0.01645626127719879,0.028197016566991806,0.025330394506454468,-9.294599294662476e-07,0.0126647325232625,64
depth16_width64,16,3,False,0,0,0,1,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.40576568245887756,0.007357691880315542,0.1641921103000641,0.03607214242219925,-0.006741621997207403,0.014871413819491863,0.4424366354942322,0.00080179946962744,0.1611151546239853,64
depth16_width64,16,4,False,0,0,0,0,3,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.11734630167484283,0.03062267228960991,0.07398448884487152,0.02404005452990532,-0.015911342576146126,0.0024787518195807934,0.12093228101730347,0.02667209878563881,0.07314395904541016,64
depth16_width64,16,5,False,1,1,0,1,1,2,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.06358277052640915,-0.014001840725541115,0.026209136471152306,0.01046321913599968,-0.004831690341234207,0.0033644363284111023,0.0465884804725647,-0.012341541238129139,0.016569891944527626,64
depth16_width64,16,6,False,0,1,0,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.04977809265255928,0.021003222092986107,0.03539065644145012,0.007180555257946253,-0.008272230625152588,-0.0005458374507725239,0.048718832433223724,0.023768773302435875,0.03600592911243439,64
depth16_width64,16,7,False,1,1,0,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.21062760055065155,0.010934244841337204,0.08331726491451263,0.00654586311429739,-0.0034713223576545715,0.0020524889696389437,0.24705195426940918,0.01029593963176012,0.09454333782196045,64
depth16_width64,16,8,False,1,1,1,1,2,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.02643262781202793,0.0010310442885383964,0.014370227232575417,0.0023031895980238914,-0.011218583211302757,-0.004279605112969875,0.036552928388118744,0.0032030807342380285,0.019893920049071312,64
depth16_width64,16,9,False,0,1,0,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.023808453232049942,0.011120595037937164,0.015829164534807205,0.0038316710852086544,0.0011993451043963432,0.0027797252405434847,0.020406657829880714,0.005839255638420582,0.011851225979626179,64
depth16_width64,16,10,False,0,1,2,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.02473212219774723,0.011174065060913563,0.017272939905524254,0.0090255718678236,-0.00012964996858499944,0.004535764455795288,0.023589912801980972,0.003208573441952467,0.012803895398974419,64
depth16_width64,16,11,False,0,0,1,4,2,2,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.0033401940017938614,-0.006695748772472143,-0.0023964950814843178,0.002777340356260538,-0.009267539717257023,-0.0031669102609157562,0.004101335071027279,-0.004661492072045803,-0.00022907982929609716,64
depth16_width64,16,12,False,0,1,0,0,3,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.015136790461838245,0.005207818932831287,0.010172305628657341,0.0014116856036707759,-0.006440108176320791,-0.002036608289927244,0.018110282719135284,0.005835906136780977,0.011973094195127487,64
depth16_width64,16,13,False,1,0,2,0,0,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.00984056107699871,0.002778479363769293,0.006170855835080147,0.005101977847516537,0.0028021952603012323,0.003927771467715502,0.00538104772567749,-0.0018448960036039352,0.0015159844188019633,64
depth16_width64,16,14,False,2,1,1,0,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.012107854709029198,0.0028163674287497997,0.007497704122215509,0.006152777932584286,-0.0010368515504524112,0.002639922546222806,0.008757109753787518,0.00034541700733825564,0.00457106065005064,64
depth16_width64,16,15,False,0,1,2,2,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.011887636967003345,-0.0026627001352608204,0.004557069391012192,0.00707524549216032,-0.001911747851409018,0.0023393628653138876,0.004393893294036388,-0.0003268918953835964,0.001958617242053151,64
