gate_block_above_0_9,gate_block_below_0_5,gate_block_mean,gate_candidate_norm_spearman,gate_ff_above_0_9,gate_ff_below_0_5,gate_ff_mean,gate_sa_above_0_9,gate_sa_below_0_5,gate_sa_mean,gate_utility_block_spearman,gate_utility_ff_spearman,gate_utility_sa_spearman,layer,n,seed,task_family,utility_block_mean,utility_ff_mean,utility_sa_mean,variant
0.25,0.1,0.8043465624252956,0.32864684634620733,1.0,0.0,1.0,1.0,0.0,1.0,0.20972492358988612,,,10,60,44,first,0.0027687135967426,-0.0010177530736352007,0.005012431585540374,gated
0.38333333333333336,0.35,0.664913513759772,0.6719088635732149,1.0,0.0,1.0,1.0,0.0,1.0,0.5456515698805224,,,10,60,55,first,0.000320497314290454,0.00011921994543323914,0.00019134047906845807,gated
0.48333333333333334,0.36666666666666664,0.6819751985371113,0.7970547374270632,1.0,0.0,1.0,1.0,0.0,1.0,0.7078077243678801,,,11,60,11,first,0.0006463852749827008,0.0003609094962788125,0.00021052984520792962,gated
0.43333333333333335,0.03333333333333333,0.842374217013518,0.7114198388441235,1.0,0.0,1.0,1.0,0.0,1.0,0.15054181717143655,,,11,60,22,first,0.0007388423546217382,0.0009186980780214072,-0.00018160843756049873,gated
0.45,0.016666666666666666,0.839559658865134,0.76599055293137,1.0,0.0,1.0,1.0,0.0,1.0,0.5437621561544874,,,11,60,33,first,0.0005649388612558444,0.00039607520836095015,0.00011248533458759387,gated
0.11666666666666667,0.3333333333333333,0.6235241410632928,0.7477076965823842,1.0,0.0,1.0,1.0,0.0,1.0,0.5459294248402335,,,11,60,44,first,-0.002443354499215881,0.001165614886364589,-0.0030209384703387817,gated
0.65,0.13333333333333333,0.8027915510038535,0.24051125312586835,1.0,0.0,1.0,1.0,0.0,1.0,0.1851069741594888,,,11,60,55,first,0.0006762444546135764,0.00021100976737216116,0.00036418618789563575,gated
0.4166666666666667,0.1,0.8056477077305317,0.75793275909975,1.0,0.0,1.0,1.0,0.0,1.0,0.5465962767435399,,,12,60,11,first,0.00046663061172390975,0.00034693191992118955,6.26438413746655e-05,gated
0.45,0.23333333333333334,0.7433815605938434,0.5966657404834678,1.0,0.0,1.0,1.0,0.0,1.0,0.4021672686857461,,,12,60,22,first,0.0029837719281204044,0.001925399332928161,0.000642204280787458,gated
0.2833333333333333,0.36666666666666664,0.6420321612929304,0.8566824117810504,1.0,0.0,1.0,1.0,0.0,1.0,0.673020283412059,,,12,60,33,first,0.00030602050634721915,0.0001520664431154728,7.471802722041806e-05,gated
0.6166666666666667,0.03333333333333333,0.864734664062659,0.4237288135593221,1.0,0.0,1.0,1.0,0.0,1.0,0.5008057793831621,,,12,60,44,first,0.00031185942546774946,4.264137630040447e-05,0.00011268945721288522,gated
0.8833333333333333,0.0,0.9516889611879985,0.3995554320644624,1.0,0.0,1.0,1.0,0.0,1.0,0.4714642956376772,,,12,60,55,first,0.000655295168204854,0.0002874544239602983,0.00028801349302132927,gated
