layer_i,layer_j,matrix,model_variant,run_id,seed,source_experiment,task_family,token_scope,value
2,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.09106197208166122
2,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.049096282571554184
2,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
2,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.3968219459056854
3,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.17420805990695953
3,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.10659393668174744
3,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.3968219459056854
3,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
0,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.0
0,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.23031356930732727
0,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.24919329583644867
0,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.22604836523532867
1,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.23031356930732727
1,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.0
1,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.26576822996139526
1,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.24962234497070312
2,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.24919329583644867
2,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.26576822996139526
2,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.0
2,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.16089439392089844
3,0,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.22604836523532867
3,1,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.24962234497070312
3,2,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.16089439392089844
3,3,update_cancellation,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.0
0,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
0,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.8220895528793335
0,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.5414800643920898
0,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.3350262939929962
1,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.8220897316932678
1,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
1,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.7571204304695129
1,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.5310633778572083
2,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.5414802432060242
2,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.7571203708648682
2,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
2,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6748641729354858
3,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.3350262939929962
3,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.5310633778572083
3,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6748642325401306
3,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
0,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
0,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.17749464511871338
0,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.09483230113983154
0,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.21651484072208405
1,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.17749464511871338
1,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
1,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.09312158077955246
1,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.2125135213136673
2,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.09483230113983154
2,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.09312159568071365
2,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
2,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6362919807434082
3,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.21651476621627808
3,1,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.2125135362148285
3,2,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6362919807434082
3,3,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
0,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0000007152557373
0,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.7377398610115051
0,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.4274539053440094
0,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.22991743683815002
1,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.7377398610115051
1,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0000001192092896
1,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.7113139033317566
1,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.43029752373695374
2,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.4274539053440094
2,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.7113139033317566
2,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0000001192092896
2,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6516674160957336
3,0,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.22991743683815002
3,1,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.43029752373695374
3,2,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.6516674160957336
3,3,residual_state_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.9999999403953552
0,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0000001192092896
0,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.15550737082958221
0,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.04031025618314743
0,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.03980493173003197
1,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.15550737082958221
1,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.9999998211860657
1,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.02899315394461155
1,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.029205553233623505
2,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.04031025618314743
2,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.02899315394461155
2,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,1.0
2,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.5238364338874817
3,0,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.03980493173003197
3,1,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.029205553233623505
3,2,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.5238364338874817
3,3,update_rsa,baseline,cycleA-e1-baseline-seed-11,11,E1,minimum,final_nonpadding,0.9999998211860657
0,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,1.0
0,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.8574808835983276
0,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.7035391330718994
0,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.5463071465492249
1,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.8574808835983276
1,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,1.0
1,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.8991724848747253
1,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.7526364922523499
2,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.7035391330718994
2,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.8991724848747253
2,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,1.0
2,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.8958976864814758
3,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.5463071465492249
3,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.7526364922523499
3,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,sum_mod_10,final_nonpadding,0.8958976864814758
