ci95_high,ci95_low,layer,median,metric,replicated,seed_n,standardized_mean,std,task_family
0.3027360737323761,-0.0518132820725441,0,0.13352399586358832,residual_mmd,False,5,0.13130953907966614,0.21280863228247776,maximum
0.20298758149147034,-0.04553890600800514,0,0.07380391827144364,residual_subspace_drift,False,5,0.07807306945323944,0.16430862425836443,maximum
0.18650062382221222,-0.2257821261882782,0,-0.15028072360329178,residual_eigenspectrum_drift,False,5,-0.019640758633613586,0.26863663320920345,maximum
0.16741889715194702,-0.25735074281692505,0,0.09288241202498523,residual_window_cka,False,5,-0.020416881889104843,0.2660394913283951,maximum
0.22641567885875702,-0.36471647024154663,0,-0.0757602476231412,residual_window_rsa,False,5,-0.0691504031419754,0.3741140814705587,maximum
0.04701778665184975,-0.24071499705314636,0,-0.03577288702486722,residual_first_stable_rank,False,5,-0.08405227214097977,0.1929389049900027,maximum
0.3066422939300537,-0.2436116635799408,0,-0.009296672283291132,residual_second_stable_rank,False,5,0.006921634078025818,0.34453569028740105,maximum
0.3115547001361847,-0.510291576385498,0,0.18902285675121885,attention_entropy_sa_norm_crosscorr_zero,False,5,-0.03004859760403633,0.5634015379292825,maximum
0.5426150560379028,-0.41658011078834534,0,-0.2100940464419935,attention_entropy_sa_norm_crosscorr_peak_abs,False,5,-0.0089584831148386,0.6189475370594312,maximum
0.34164828062057495,-0.17244338989257812,0,0.06541998169892885,sa_ff_norm_crosscorr_zero,False,5,0.08469603955745697,0.3311459755821939,maximum
0.4300565719604492,-0.2397274523973465,0,0.27871913409047,sa_ff_norm_crosscorr_peak_abs,False,5,0.10021207481622696,0.44864564159831166,maximum
0.12235182523727417,-0.06887044757604599,0,-0.032733058083531115,residual_update_norm_crosscorr_zero,False,5,0.01592634618282318,0.12889543219198313,maximum
0.18939046561717987,-0.5822321772575378,0,-0.473198547039949,residual_update_norm_crosscorr_peak_abs,False,5,-0.19869735836982727,0.5230826057552624,maximum
0.1949767768383026,-0.39163488149642944,1,-0.0711588352817785,residual_norm_mean,False,5,-0.055070094764232635,0.34941954719699664,maximum
0.27102023363113403,-0.060970671474933624,1,0.08123439615870642,residual_norm_variance,False,5,0.10052523761987686,0.21412886934036843,maximum
0.7036033868789673,0.02139357663691044,1,0.1927818118492791,residual_norm_first_difference_abs_mean,False,5,0.33757686614990234,0.43384527954151547,maximum
0.6671432256698608,0.047756802290678024,1,0.2382152632565126,residual_norm_second_difference_abs_mean,False,5,0.3570125102996826,0.42727980100695057,maximum
0.09402137994766235,-0.6107132434844971,1,-0.053274185947442904,residual_norm_acf_lag1,False,5,-0.23006241023540497,0.46069148200890636,maximum
0.24380357563495636,-0.2102023810148239,1,0.15430334996209139,residual_norm_correlation_length,False,5,0.04243859648704529,0.30483824155685296,maximum
