family_n,layer,seed,task_pair,utility_block_difference,utility_ff_difference,utility_sa_difference
60,1,33,first__middle,-0.0010098103356237212,0.0015726981684565545,-0.0011304529577804109
60,1,44,first__middle,0.05351717260976632,0.06582714985124767,-0.003607761390352001
60,1,55,first__middle,0.025675865239463747,8.028014563024043e-05,0.02342989145545289
60,2,11,first__middle,-0.10514274890301749,0.003508633887395263,-0.01906865576747805
60,2,22,first__middle,-0.617140360281337,-4.7392223495990035e-05,-0.4863283514006374
60,2,33,first__middle,-0.011975705941828589,0.00025875901725764074,-0.003123044602883359
60,2,44,first__middle,0.00042572064946095147,-0.0018670597850965957,0.0010693273313033085
60,2,55,first__middle,-0.014267378870863467,4.227079140643279e-06,9.816791862249375e-06
60,3,11,first__middle,0.3817667735856958,-0.0072353680346471565,0.4453518195194192
60,3,22,first__middle,-0.1978479651423792,1.3748734878997008e-05,-0.06506457323751723
60,3,33,first__middle,-1.0211219604864405,-0.0018813168862834573,-0.40464070581365374
60,3,44,first__middle,-0.0007351043828142186,0.00043964957197507225,-0.00605746206905072
60,3,55,first__middle,0.00017174641058469812,-5.1869743037968875e-05,0.00026356869687636694
60,4,11,first__middle,-0.0077173091704025865,0.001207899065533032,-0.013152315467596053
60,4,22,first__middle,-0.0016601179260760546,0.00014157564534495275,-0.0017110721596206228
60,4,33,first__middle,0.0796169552874441,0.0005091660578424732,0.07288541462815677
60,4,44,first__middle,0.0011438286009555062,-0.0005852504478146632,0.00192349828624477
60,4,55,first__middle,0.0005277684268852075,4.2596843559294936e-05,0.0005944017398481567
60,5,11,first__middle,2.325799320389827,0.00472172733473902,2.3029847501971137
60,5,22,first__middle,-0.0034754714385295906,0.000132050229391704,-0.005145828534538547
60,5,33,first__middle,-0.0014718126893664399,-0.000554603268392384,-0.0007076788305615385
60,5,44,first__middle,-0.006362249407296379,0.0005470810031207899,-0.006947048311121762
60,5,55,first__middle,0.0002528264536522329,0.00012817992828786373,7.946734549477697e-05
60,6,11,first__middle,0.0028258503841546673,-0.0017949216455842058,0.005957558817074945
60,6,22,first__middle,0.005124488597114881,7.348499105622372e-05,-0.0016200138566394647
60,6,33,first__middle,0.03177828897411625,-0.0011945566783348718,0.0291703620304664
60,6,44,first__middle,0.0008664045870924989,-0.0003369009781939288,0.001160527137108147
60,6,55,first__middle,0.00030132584506645797,7.786694914102554e-06,0.000373713206499815
60,7,11,first__middle,-0.0036701581285645563,0.0004339429239432017,-0.004094651290991654
60,7,22,first__middle,0.001016713100640724,0.0002461030070359508,0.0007793869629191855
60,7,33,first__middle,2.3845354250321785e-05,0.0008495973073877394,-0.0005407238573146363
60,7,44,first__middle,0.001491204792788873,-0.0007475663248139123,0.002575929082619647
60,7,55,first__middle,0.000294271542225033,0.0001035207222836713,0.00010194206455101569
60,8,11,first__middle,0.0064326961485979455,0.002877802960574627,0.005116743722464889
60,8,22,first__middle,-0.004864288854878396,3.8489400564382475e-05,-0.006853739234308402
60,8,33,first__middle,0.00048476414522156117,0.00030005778341243665,0.000154829576301078
60,8,44,first__middle,0.00021776481686780851,-7.633847029258808e-05,6.740346240500609e-06
60,8,55,first__middle,0.0002991803145656983,1.9827000020692746e-05,0.0002916622441262007
60,9,11,first__middle,-0.012554888795906056,0.0004366637246372799,-0.013809475349262357
60,9,22,first__middle,0.0001396986423060298,-0.00010336279325808088,0.0002350134503406783
60,9,33,first__middle,0.002112115166770915,5.888616821418206e-06,0.002022886749667426
60,9,44,first__middle,0.0007458347866001228,0.0006258278425472478,0.00012561783272152144
60,9,55,first__middle,-0.0001947135819743077,4.813583800569177e-05,-0.00026767610494668286
60,10,11,first__middle,-0.0011673966306261717,-0.003145064339817812,0.0014581144787371159
60,10,22,first__middle,0.0009782188028718034,0.00011107546743005514,0.0005381270893849432
60,10,33,first__middle,0.0009455519961193204,0.0008224110313070317,0.00017796932564427456
60,10,44,first__middle,0.0006397587247192859,-0.000808481538357834,0.0017245834072430928
60,10,55,first__middle,2.3782610272367797e-05,3.8423497850696245e-06,5.0032845077415304e-05
60,11,11,first__middle,0.0005244243734826644,0.0008836110394137601,-0.00036456698241333165
60,11,22,first__middle,-0.000366480202258875,-4.5139909101029234e-05,-0.0003425599657930434
60,11,33,first__middle,0.00029376334277912973,-4.660648216182987e-05,0.0002722699001121024
60,11,44,first__middle,-0.0007080752247323592,-0.0002312269915516178,-0.00042938273400068284
60,11,55,first__middle,8.70699256968995e-05,9.401633481805523e-05,-8.94110028942426e-06
60,12,11,first__middle,-0.004299937014002353,-0.0022368274823141594,-0.001930075647154202
60,12,22,first__middle,0.0003083179394404093,0.0003084014053456485,-0.0001226857731429239
60,12,33,first__middle,0.0004888688252928356,0.00037026864398891725,0.00013416477789481482
60,12,44,first__middle,9.380536697184046e-05,2.2710952907800675e-05,5.158983403816819e-05
60,12,55,first__middle,0.00017517544329166413,9.466264164075256e-05,4.464335118730863e-05
60,13,11,first__middle,-0.0001999545415552954,-0.0020968923966089886,0.001919388941799601
60,13,22,first__middle,0.0003905487013980746,0.00019676767600079376,0.00020049808857341606
60,13,33,first__middle,0.00019867680578803022,-0.0001879447877096633,0.0003781999616573254
60,13,44,first__middle,6.385692783320944e-05,-0.00012702415697276592,0.00019363416358828545
60,13,55,first__middle,5.2282998027900854e-05,3.2626142880568904e-05,1.8651026766747237e-05
60,14,11,first__middle,0.002880585864962389,0.001513275282923132,0.0016015388149147232
60,14,22,first__middle,0.00017876923084259033,0.00012242652786274751,5.6540321869154773e-05
60,14,33,first__middle,-0.00038874096159512795,-0.001035927402942131,0.0004917484863350788
60,14,44,first__middle,-9.098358762760957e-05,0.00011304546302805344,-0.00015864020291094977
60,14,55,first__middle,7.29929228934149e-05,6.337843369692564e-05,9.571221501876911e-06
60,15,11,first__middle,0.0015887876933751007,0.0015917378710582851,-2.5638080357263484e-05
60,15,22,first__middle,0.00021115459967404603,0.0003036729758605361,-5.275103030726314e-05
60,15,33,first__middle,-0.0004356479194636146,-0.0005548214578690628,0.00012066359243666133
60,15,44,first__middle,-0.00013414429655919473,-0.00031395634869113564,0.00012450010981410742
60,15,55,first__middle,8.189101160193483e-05,8.496663455540936e-05,-1.5411991626024245e-06
60,0,11,maximum__first,0.18457826303395752,-0.019551787451685718,0.3130290606369575
60,0,22,maximum__first,0.08920251107386624,0.006014817188649128,0.01750852947200959
60,0,33,maximum__first,-0.04373389775088678,0.03315604645758867,0.0028906157744737963
60,0,44,maximum__first,-0.10996310190530494,-0.06813990842395773,0.0028847725285838046
60,0,55,maximum__first,0.3037768476177007,0.024075918504968284,0.09970808385017639
60,1,11,maximum__first,-0.09057446835407366,-0.009832741921612372,-0.22744044872621696
60,1,22,maximum__first,-0.15127147849028308,0.07449662021438902,-0.09460617032600567
60,1,33,maximum__first,2.0825600770224506,0.022126705544845512,2.4988659815785166
